escenario,paso,enemigos,bombas,explosiones,powerups,caos,dificultad
Presión alta,15,2.8199411319098533,0.7493583044210231,0.5172832522161517,1.2497789696432295,1.0927406802158048,1.6010073741186932
Presión alta,16,2.7800252685138496,0.7440501477431005,0.5073159678259355,1.3098748035788796,1.023925315720069,1.5631589236460388
Presión alta,17,2.7182042950134537,0.737732253482434,0.49908830656009157,1.369817433548102,0.9571980095043287,1.5264589052273818
Presión alta,18,2.658600248895778,0.7325484764976151,0.49381214845306665,1.4274835250139768,0.8930093838748365,1.4911551611311606
Presión alta,19,2.606760248918233,0.7261604277632514,0.49160452016278755,1.4832171897544466,0.8322631007970023,1.457744705438352
Presión alta,20,2.5485081087111405,0.7205914534931591,0.4881809045681452,1.5387928138589495,0.7725640579441503,1.4249102318692823
Presión alta,21,2.4995303759415304,0.7140473769386583,0.4880841737871064,1.59215344731258,0.7157481182296408,1.393661465026303
Presión alta,22,2.453690982560312,0.7118940490907534,0.48254594940542633,1.6836877195947326,0.6537822613417483,1.3595802437379616
Presión alta,23,2.4069735665979066,0.7071275092982561,0.4791024758861886,1.7348137739455658,0.5966650468763981,1.3281657757820184
Presión alta,24,2.36305708275289,0.7051905722340029,0.47928346084847084,1.784834826543409,0.5440573600836989,1.299231548046034
Presión alta,25,2.3220928730657904,0.7030280562616231,0.47313852475686075,1.8187105637649625,0.49783715974969034,1.2738104378623292
Presión alta,26,2.282830199694553,0.700855756132775,0.4709509937435988,1.8639241611505337,0.4542978902529272,1.2498638396391093
Presión alta,27,2.2468168071745676,0.6975969251252208,0.4685163134829577,1.9094954440328207,0.41301097445595153,1.227156035950773
Presión alta,28,2.2141688135999225,0.6959704415120477,0.46711944374064407,1.956439127965196,0.3740290889861905,1.2057159989424044
Presión alta,29,2.1794248919442474,0.6881353238050416,0.4671012563554003,2.0011986645459987,0.3362965484117267,1.1849631016264492
Presión alta,30,2.1496498319129755,0.6861583028935111,0.46403258013057785,2.0451834634909525,0.3018172141704363,1.1659994677937404
Presión alta,31,2.1184488072120584,0.683635651415273,0.46132760033006337,2.087961577047329,0.2687134260814508,1.1477923843447975
Presión alta,32,2.0920363385262637,0.6837524318634611,0.4585542223531649,2.130864284572575,0.23942898448152722,1.1316859414648401
Presión alta,33,2.077914135721473,0.6817855780066053,0.4590885395922385,2.175116639083979,0.21395087641236551,1.1176729820268008
Presión alta,34,2.0616970022565413,0.6813689431143563,0.45564825117206986,2.2176929537878918,0.19178270129641292,1.1054804857130274
Presión alta,35,2.034122007058064,0.6808941407498156,0.45541285832498046,2.2574523757275826,0.16991770882881432,1.0934547398558474
